,C_HF_PM_r.06,H_HF_PM_r.01,B_HF_PM_r.11,C_HF_PM_r.07,H_HF_PM_r.02,B_HF_PM_r.12,C_HF_PM_r.08,H_HF_PM_r.03,B_HF_PM_r.13,C_HF_PM_r.09,H_HF_PM_r.04,B_HF_PM_r.14,C_HF_PM_r.10,H_HF_PM_r.05,B_HF_PM_r.15
FBgn0000003,0,1,0,4,0,0,0,0,2,2,1,6,2,1,1
FBgn0000008,328,370,329,448,375,382,512,510,362,390,367,345,349,425,442
FBgn0000014,341,447,303,410,306,305,565,523,375,355,336,278,369,587,335
FBgn0000015,412,388,380,403,370,362,506,456,437,422,350,285,490,454,409
FBgn0000017,970,1064,965,1051,965,1009,1344,1312,1101,1148,852,667,1017,1266,1131
FBgn0000018,134,181,143,243,178,183,257,219,186,193,156,188,204,230,170
FBgn0000022,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
FBgn0000024,2047,1899,1971,1979,1789,2014,2850,2062,2412,2073,1605,1398,2160,2133,2378
FBgn0000028,129,155,165,179,158,155,198,203,169,177,134,136,204,176,167
FBgn0000032,382,390,330,414,368,327,460,525,403,373,334,344,406,448,395
FBgn0000036,369,343,354,453,371,352,542,446,473,423,310,266,546,532,517
FBgn0000037,304,330,332,399,290,395,485,417,405,408,326,271,372,374,383
FBgn0000038,2101,2221,1967,2296,1987,2070,2865,2286,2670,2048,1833,1697,2294,2444,2428
FBgn0000039,110,146,140,196,169,146,197,209,193,158,144,157,225,153,158
FBgn0000042,17019,16089,15517,23684,15130,16145,23274,18419,19165,20974,15555,18069,19848,15899,17764
FBgn0000043,2698,2989,2802,3539,2851,2657,3860,3619,2947,3107,2355,3019,3294,3457,3293
FBgn0000044,12056,14338,16331,18154,13759,15793,14408,18470,18404,13854,12477,17140,14435,14185,19499
FBgn0000045,12128,15876,18310,15667,14148,18638,13657,16122,20639,13115,14175,21401,13238,15369,18868
FBgn0000046,6208,7211,8533,7910,5937,8059,8274,8495,9582,7168,6850,9014,8045,7590,9064
FBgn0000047,1781,3184,4624,1705,2143,4155,1471,3393,3870,1814,2528,3012,2066,2021,4583
FBgn0000052,1512,1347,1241,1560,1468,1132,1895,2000,1257,1675,1399,1127,1660,1381,1327
FBgn0000053,1561,1453,1276,1790,1401,987,1618,1822,1190,1426,1029,1081,1336,1615,1353
FBgn0000054,346,406,426,510,373,459,513,500,497,477,361,447,484,536,461
FBgn0000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000057,724,816,771,962,801,741,1052,1025,861,921,761,835,935,989,925
FBgn0000061,10,18,9,13,11,9,10,15,12,9,8,7,17,20,19
FBgn0000063,111,119,145,130,145,133,206,158,109,97,89,124,134,138,126
FBgn0000064,63514,66204,60583,78513,59495,66160,83767,79501,80013,69659,60593,71477,72030,73252,71894
FBgn0000071,2,3,0,6,4,3,1,2,4,2,1,5,1,0,3
FBgn0000075,32,57,28,50,47,43,45,68,38,34,31,40,33,45,44
FBgn0000077,116,137,120,160,140,83,175,154,125,145,140,134,161,156,136
FBgn0000078,2605,3914,2736,2834,4634,2860,4319,3423,2836,3976,2447,3322,3739,3280,3253
FBgn0000079,9668,6943,8114,12631,10176,7636,10784,9002,8554,11285,3480,8912,12547,6894,8599
FBgn0000083,3062,3133,3162,4158,2860,3021,4513,3681,3409,3604,2964,3301,3709,3529,3670
FBgn0000084,565,740,629,864,689,688,834,807,621,814,711,751,771,810,709
FBgn0000092,12,61,23,30,13,14,17,12,10,10,26,26,16,20,33
FBgn0000094,3496,5805,4787,6496,4345,5186,7675,6510,3426,7491,5247,2942,8018,8231,5658
FBgn0000097,844,812,738,920,736,683,1149,1032,820,846,705,541,870,984,873
FBgn0000099,836,1012,785,1002,981,776,1145,1162,882,1070,722,655,1166,1093,893
FBgn0000100,10423,11266,11277,13425,11262,10133,14862,11927,11982,12941,10547,12623,13092,12091,12400
FBgn0000108,3673,3701,3513,3645,3566,3596,4898,4321,4420,4124,3005,2680,4129,4198,4152
FBgn0000109,135,147,112,135,131,124,129,146,120,143,99,141,169,136,106
FBgn0000114,6586,8088,7399,8160,7664,6815,9828,9784,8046,7731,5945,6575,8141,9383,8617
FBgn0000115,309,393,303,402,323,325,458,413,279,364,271,353,450,425,377
FBgn0000116,25847,24116,26574,36107,23198,29468,32476,34800,32975,29956,23351,34105,32701,28610,32402
FBgn0000117,2823,3117,3097,3647,3227,3087,4024,4006,3316,3390,2789,2720,3679,3563,3619
FBgn0000119,629,623,602,636,579,701,860,790,729,655,563,531,738,711,757
FBgn0000120,12898,13868,14543,18748,13881,13649,17930,16753,15628,15090,12538,15985,17620,15654,16231
FBgn0000121,18534,18473,18881,25457,18865,18173,24238,22937,21136,21476,17310,20148,23049,20956,21184
FBgn0000137,0,1,1,2,5,1,1,2,0,2,0,0,1,1,0
FBgn0000139,264,321,342,387,284,414,417,394,343,379,316,397,377,380,456
FBgn0000140,444,554,460,521,526,411,712,635,507,470,418,369,500,668,528
FBgn0000146,100,108,108,122,110,95,120,152,90,97,55,80,90,137,115
FBgn0000147,286,404,339,353,306,305,416,427,294,236,265,293,305,394,311
FBgn0000150,4827,5817,5398,7229,5406,5431,7343,6107,5136,6930,5304,6093,6992,6738,6099
FBgn0000152,199,234,256,258,254,259,268,249,282,228,187,213,245,268,251
FBgn0000153,1176,1593,1499,1780,1455,1468,1866,1901,1622,1648,1499,1544,1679,1510,1815
FBgn0000157,196,284,221,280,238,227,287,293,256,288,213,220,249,267,249
FBgn0000158,16,28,11,11,12,17,21,14,12,20,15,16,17,26,17
FBgn0000163,1411,1338,1230,1564,1381,1195,1830,1749,1500,1353,1101,946,1379,1577,1465
FBgn0000166,4,1,4,2,3,0,2,1,1,1,6,0,2,4,3
FBgn0000173,1604,1585,1368,1699,1456,1439,2008,1880,1721,1701,1386,1439,1898,1796,1696
FBgn0000179,164,206,171,214,198,132,233,218,213,183,130,130,202,205,176
FBgn0000180,71,68,62,87,63,87,87,91,75,96,67,58,103,90,96
FBgn0000181,3540,4666,4274,5344,4001,4119,5642,5439,4341,5430,3953,4511,4915,4997,5044
FBgn0000182,1500,1769,1715,1798,1739,1587,2368,2135,1760,1756,1437,1595,1947,2101,1887
FBgn0000183,1411,1496,1341,1564,1422,1209,1875,1707,1553,1463,1309,1049,1528,1514,1477
FBgn0000206,356,402,493,573,451,473,489,538,457,417,368,431,473,515,517
FBgn0000210,275,363,290,344,259,301,431,361,346,318,228,184,346,367,375
FBgn0000212,1027,1109,1133,1288,1051,987,1549,1330,1121,1227,874,900,1312,1302,1278
FBgn0000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000221,69,108,82,94,77,75,135,107,83,101,85,80,104,91,93
FBgn0000227,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
FBgn0000228,803,838,794,880,852,722,1176,992,922,912,722,647,899,869,884
FBgn0000229,686,792,719,933,746,651,1063,904,833,823,642,664,920,843,835
FBgn0000233,14,8,19,19,14,21,26,28,20,28,14,19,18,36,24
FBgn0000239,1535,1656,1480,1899,1804,1421,2207,2041,1730,1696,1304,1397,1877,1810,1680
FBgn0000241,85,97,115,116,133,112,122,109,106,105,80,93,124,147,164
FBgn0000242,468,441,409,551,442,444,560,513,544,529,385,398,483,486,487
FBgn0000244,1666,1771,1653,2077,1761,1690,2471,2218,2043,1918,1600,1561,1972,2038,2031
FBgn0000246,96,130,111,143,111,111,152,126,154,147,75,93,128,131,116
FBgn0000247,1480,1593,1339,1577,1469,1339,1924,1778,1587,1465,1186,1033,1496,1709,1620
FBgn0000250,2182,2220,2148,2517,1924,2045,2938,2583,2276,2416,1913,2103,2543,2439,2478
FBgn0000251,695,701,728,798,770,671,1001,949,819,744,588,739,861,925,837
FBgn0000253,14282,14609,11500,14895,13258,12714,18515,16211,16333,15544,12249,11791,15947,16805,14746
FBgn0000256,4027,5080,4960,5521,5085,4498,6437,5885,5305,4726,3905,4453,4788,5830,5722
FBgn0000257,252,312,301,335,341,317,372,370,355,346,302,273,331,332,331
FBgn0000259,1695,1763,1527,1859,1634,1595,2399,2100,1994,1788,1349,1393,1906,2074,1816
FBgn0000261,15775,17293,13715,17807,15216,13495,19343,20888,15885,18258,15572,14368,19449,19233,16333
FBgn0000273,4170,4156,3397,4041,3815,3307,5086,5108,4458,4127,3254,2771,4393,4552,3994
FBgn0000274,534,642,678,759,599,585,865,772,648,688,445,703,736,733,725
FBgn0000276,669,365,353,648,267,333,966,453,278,980,271,301,690,500,433
FBgn0000277,74,12,14,14,9,26,91,13,17,184,4,15,46,13,62
FBgn0000278,15,1,4,4,2,12,14,1,3,37,0,0,8,1,12
FBgn0000279,76,12,14,10,4,24,123,11,4,156,1,5,12,12,30
FBgn0000280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000281,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000283,1060,1242,1088,1152,1102,1069,1509,1363,1229,1246,1009,902,1323,1352,1222
FBgn0000286,4341,1754,1916,2200,2523,1898,2321,2765,2381,1891,1501,1722,1981,2117,2294
FBgn0000287,385,499,487,491,553,398,475,566,474,361,400,353,499,502,475
FBgn0000289,1642,1741,1719,2005,1586,1598,2367,2005,1878,1991,1389,1470,1885,2035,2012
FBgn0000299,4432,4310,4901,5078,4510,4812,5215,4639,4854,5373,4177,4354,4578,4422,5395
FBgn0000303,323,204,349,467,316,349,509,292,462,351,242,356,421,356,436
FBgn0000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000308,4998,5907,4643,6385,5286,4924,7098,6987,5879,6117,4701,5124,6304,6781,5735
FBgn0000313,4203,4644,5019,4859,4776,4809,5606,5450,5654,4514,3841,3856,4825,4943,5557
FBgn0000316,0,0,1,0,0,0,2,2,1,1,1,0,0,0,0
FBgn0000317,961,1022,874,1038,1082,829,1278,1252,1028,925,785,611,1017,984,1023
FBgn0000318,1385,1432,1349,1661,1473,1307,1816,1639,1531,1571,1306,1753,1679,1731,1543
FBgn0000319,5841,5821,5564,6624,5913,5161,7637,7345,6498,6161,5058,4614,6276,6350,6146
FBgn0000320,276,311,343,386,339,307,451,405,347,399,279,308,352,413,372
FBgn0000326,232,233,244,320,292,244,320,301,302,286,228,297,281,303,300
FBgn0000330,131,154,149,181,134,146,189,167,169,170,126,154,186,154,176
FBgn0000337,2,4,2,9,3,5,4,8,2,4,2,7,5,2,4
FBgn0000339,546,549,537,767,564,436,683,743,527,605,458,541,724,694,595
FBgn0000346,1324,1439,1555,1692,1340,1400,1765,1720,1607,1526,1231,1244,1666,1545,1695
FBgn0000351,10,12,11,18,17,4,16,19,5,8,13,9,13,15,10
FBgn0000352,267,268,265,284,254,201,329,308,278,284,176,194,281,306,242
FBgn0000355,34,71,55,63,68,37,44,65,34,57,64,52,68,75,40
FBgn0000356,3,2,2,0,1,0,0,0,0,0,0,4,2,1,2
